G4NDL
ENDF/B-VI.8
MT:454  MF:8  AWR:229.051
FSP:36081  mFSP:0  Y:1.71e-09
FSP:36081  mFSP:1  Y:2.33e-10
FSP:36082  mFSP:0  Y:1.16e-07
FSP:36083  mFSP:0  Y:3.19e-06
FSP:36083  mFSP:1  Y:6.54e-07
FSP:36084  mFSP:0  Y:9.479e-05
FSP:36085  mFSP:0  Y:0.00074344
FSP:36085  mFSP:1  Y:0.00015227
FSP:36086  mFSP:0  Y:0.00480528
FSP:36087  mFSP:0  Y:0.0163504
FSP:36088  mFSP:0  Y:0.0339975
FSP:36089  mFSP:0  Y:0.0448775
FSP:36090  mFSP:0  Y:0.0367481
FSP:36091  mFSP:0  Y:0.0194461
FSP:36092  mFSP:0  Y:0.00769951
FSP:36093  mFSP:0  Y:0.00188501
FSP:36094  mFSP:0  Y:0.00029207
FSP:36095  mFSP:0  Y:2.89739e-05
FSP:36096  mFSP:0  Y:1.42e-06
FSP:36097  mFSP:0  Y:4.86981e-08
FSP:36098  mFSP:0  Y:8.55e-10
FSP:36099  mFSP:0  Y:4.92669e-12
FSP:36100  mFSP:0  Y:5.62e-14
FSP:37079  mFSP:0  Y:0
FSP:37081  mFSP:0  Y:2.86e-14
FSP:37083  mFSP:0  Y:7.69e-10
FSP:37084  mFSP:0  Y:7.07e-08
FSP:37085  mFSP:0  Y:2.44e-06
FSP:37086  mFSP:1  Y:2.312e-05
FSP:37086  mFSP:0  Y:2.312e-05
FSP:37087  mFSP:0  Y:0.00051996
FSP:37088  mFSP:0  Y:0.00329232
FSP:37089  mFSP:0  Y:0.0123989
FSP:37090  mFSP:0  Y:0.00463488
FSP:37090  mFSP:1  Y:0.0226294
FSP:37091  mFSP:0  Y:0.0384224
FSP:37092  mFSP:0  Y:0.0414233
FSP:37093  mFSP:0  Y:0.0289095
FSP:37094  mFSP:0  Y:0.0134461
FSP:37095  mFSP:0  Y:0.00419495
FSP:37096  mFSP:0  Y:0.00066912
FSP:37097  mFSP:0  Y:7.648e-05
FSP:37098  mFSP:0  Y:4.57e-06
FSP:37099  mFSP:0  Y:1.27558e-07
FSP:37100  mFSP:0  Y:3.83e-09
FSP:37101  mFSP:0  Y:0
FSP:37102  mFSP:0  Y:0
FSP:37103  mFSP:0  Y:0
FSP:38083  mFSP:0  Y:0
FSP:38084  mFSP:0  Y:2.25e-12
FSP:38085  mFSP:1  Y:1.47e-10
FSP:38085  mFSP:0  Y:1.47e-10
FSP:38086  mFSP:0  Y:2.09e-08
FSP:38087  mFSP:0  Y:6.98e-07
FSP:38087  mFSP:1  Y:1.43e-07
FSP:38088  mFSP:0  Y:1.799e-05
FSP:38089  mFSP:0  Y:0.00022123
FSP:38090  mFSP:0  Y:0.00146972
FSP:38091  mFSP:0  Y:0.00595737
FSP:38092  mFSP:0  Y:0.0176031
FSP:38093  mFSP:0  Y:0.03258
FSP:38094  mFSP:0  Y:0.0408301
FSP:38095  mFSP:0  Y:0.0353842
FSP:38096  mFSP:0  Y:0.0164629
FSP:38097  mFSP:0  Y:0.00577034
FSP:38098  mFSP:0  Y:0.0011015
FSP:38099  mFSP:0  Y:0.000141492
FSP:38100  mFSP:0  Y:1.091e-05
FSP:38101  mFSP:0  Y:4.48e-12
FSP:38102  mFSP:0  Y:3.89e-14
FSP:38103  mFSP:0  Y:4.99303e-16
FSP:38104  mFSP:0  Y:0
FSP:38105  mFSP:0  Y:0
FSP:38106  mFSP:0  Y:2.22644e-13
FSP:38107  mFSP:0  Y:3.2914e-14
FSP:39085  mFSP:0  Y:0
FSP:39087  mFSP:0  Y:5.92e-11
FSP:39088  mFSP:0  Y:4.49e-09
FSP:39089  mFSP:0  Y:3.28e-08
FSP:39089  mFSP:1  Y:1.6e-07
FSP:39090  mFSP:1  Y:2.125e-06
FSP:39090  mFSP:0  Y:2.125e-06
FSP:39091  mFSP:1  Y:2.783e-05
FSP:39091  mFSP:0  Y:2.783e-05
FSP:39092  mFSP:0  Y:0.00051163
FSP:39093  mFSP:1  Y:0.00141091
FSP:39093  mFSP:0  Y:0.00141091
FSP:39094  mFSP:0  Y:0.00989883
FSP:39095  mFSP:0  Y:0.0231383
FSP:39096  mFSP:0  Y:0.00258002
FSP:39096  mFSP:1  Y:0.0260869
FSP:39097  mFSP:1  Y:0.0136233
FSP:39097  mFSP:0  Y:0.0136233
FSP:39098  mFSP:0  Y:0.0073651
FSP:39098  mFSP:1  Y:0.00736501
FSP:39099  mFSP:0  Y:0.00581195
FSP:39100  mFSP:0  Y:0.00144242
FSP:39101  mFSP:0  Y:6.26e-06
FSP:39102  mFSP:0  Y:2.85e-07
FSP:39103  mFSP:0  Y:1e-08
FSP:39104  mFSP:0  Y:2.56e-10
FSP:39105  mFSP:0  Y:1.29819e-13
FSP:39106  mFSP:0  Y:5.76451e-09
FSP:39107  mFSP:0  Y:8.52182e-10
FSP:39108  mFSP:0  Y:2.86959e-13
FSP:39109  mFSP:0  Y:1.25585e-14
FSP:40087  mFSP:0  Y:0
FSP:40088  mFSP:0  Y:4.65e-14
FSP:40089  mFSP:0  Y:7.18e-12
FSP:40090  mFSP:1  Y:2.735e-10
FSP:40090  mFSP:0  Y:2.735e-10
FSP:40091  mFSP:0  Y:2.44e-08
FSP:40092  mFSP:0  Y:7.55e-07
FSP:40093  mFSP:0  Y:1.367e-05
FSP:40094  mFSP:0  Y:0.00015243
FSP:40095  mFSP:0  Y:0.00108545
FSP:40096  mFSP:0  Y:0.00389313
FSP:40097  mFSP:0  Y:0.0102015
FSP:40098  mFSP:0  Y:0.0147413
FSP:40099  mFSP:0  Y:0.0159653
FSP:40100  mFSP:0  Y:0.0112388
FSP:40101  mFSP:0  Y:0.00446744
FSP:40102  mFSP:0  Y:0.00092962
FSP:40103  mFSP:0  Y:0.00016912
FSP:40104  mFSP:0  Y:2.158e-05
FSP:40105  mFSP:0  Y:2.6e-06
FSP:40106  mFSP:0  Y:6.39424e-06
FSP:40107  mFSP:0  Y:9.45276e-07
FSP:40108  mFSP:0  Y:7.42971e-09
FSP:40109  mFSP:0  Y:3.25154e-10
FSP:40110  mFSP:0  Y:7.64e-13
FSP:40111  mFSP:0  Y:2.50474e-14
FSP:41089  mFSP:0  Y:0
FSP:41090  mFSP:0  Y:0
FSP:41091  mFSP:0  Y:4.5e-13
FSP:41092  mFSP:0  Y:4.83e-11
FSP:41093  mFSP:0  Y:2.5e-09
FSP:41093  mFSP:1  Y:5.11e-10
FSP:41094  mFSP:0  Y:7.17e-08
FSP:41094  mFSP:1  Y:4.21e-08
FSP:41095  mFSP:0  Y:2.24e-06
FSP:41095  mFSP:1  Y:4.58e-07
FSP:41096  mFSP:0  Y:3.135e-05
FSP:41097  mFSP:0  Y:0.00021314
FSP:41097  mFSP:1  Y:4.366e-05
FSP:41098  mFSP:0  Y:0.00086336
FSP:41098  mFSP:1  Y:0.00024351
FSP:41099  mFSP:0  Y:0.00027858
FSP:41099  mFSP:1  Y:0.0032035
FSP:41100  mFSP:0  Y:0.00340582
FSP:41100  mFSP:1  Y:0.00340582
FSP:41101  mFSP:0  Y:0.00926256
FSP:41102  mFSP:1  Y:0.00263441
FSP:41102  mFSP:0  Y:0.00263441
FSP:41103  mFSP:0  Y:0.00308952
FSP:41104  mFSP:1  Y:0.000689405
FSP:41104  mFSP:0  Y:0.000689405
FSP:41105  mFSP:0  Y:0.00070091
FSP:41106  mFSP:0  Y:0.00024786
FSP:41107  mFSP:0  Y:5.15439e-05
FSP:41108  mFSP:0  Y:5.38e-06
FSP:41109  mFSP:0  Y:3.60675e-07
FSP:41110  mFSP:0  Y:1.06e-08
FSP:41111  mFSP:0  Y:6.48508e-10
FSP:41112  mFSP:0  Y:8.76712e-13
FSP:41113  mFSP:0  Y:5.253e-14
FSP:42090  mFSP:0  Y:0
FSP:42091  mFSP:0  Y:0
FSP:42092  mFSP:0  Y:0
FSP:42093  mFSP:1  Y:1.37e-14
FSP:42093  mFSP:0  Y:1.37e-14
FSP:42094  mFSP:0  Y:3.61e-12
FSP:42095  mFSP:0  Y:2.96e-10
FSP:42096  mFSP:0  Y:1.18e-08
FSP:42097  mFSP:0  Y:3.25e-07
FSP:42098  mFSP:0  Y:4.61e-06
FSP:42099  mFSP:0  Y:4.769e-05
FSP:42100  mFSP:0  Y:0.00029372
FSP:42101  mFSP:0  Y:0.00011344
FSP:42102  mFSP:0  Y:0.00023113
FSP:42103  mFSP:0  Y:0.00044798
FSP:42104  mFSP:0  Y:0.00055564
FSP:42105  mFSP:0  Y:0.00076913
FSP:42106  mFSP:0  Y:0.00064713
FSP:42107  mFSP:0  Y:0.00050683
FSP:42108  mFSP:0  Y:0.00019676
FSP:42109  mFSP:0  Y:5.226e-05
FSP:42110  mFSP:0  Y:6.35e-06
FSP:42111  mFSP:0  Y:7.19351e-07
FSP:42112  mFSP:0  Y:2.26991e-08
FSP:42113  mFSP:0  Y:1.36006e-09
FSP:42114  mFSP:0  Y:1.49e-11
FSP:42115  mFSP:0  Y:1.61417e-13
FSP:42116  mFSP:0  Y:0
FSP:43093  mFSP:0  Y:0
FSP:43095  mFSP:0  Y:0
FSP:43095  mFSP:1  Y:0
FSP:43097  mFSP:1  Y:8.85e-12
FSP:43097  mFSP:0  Y:8.85e-12
FSP:43098  mFSP:0  Y:8.66e-10
FSP:43099  mFSP:0  Y:2.61e-08
FSP:43099  mFSP:1  Y:5.34e-09
FSP:43100  mFSP:0  Y:6.66e-07
FSP:43101  mFSP:0  Y:9.98e-10
FSP:43102  mFSP:0  Y:5.1e-09
FSP:43102  mFSP:1  Y:5.1e-09
FSP:43103  mFSP:0  Y:1.03e-07
FSP:43104  mFSP:0  Y:5.91e-07
FSP:43105  mFSP:0  Y:3.76e-06
FSP:43106  mFSP:0  Y:0.00013395
FSP:43107  mFSP:0  Y:0.00037564
FSP:43108  mFSP:0  Y:0.00048819
FSP:43109  mFSP:0  Y:0.0004412
FSP:43110  mFSP:0  Y:0.00019596
FSP:43111  mFSP:0  Y:8.205e-05
FSP:43112  mFSP:0  Y:9.45e-06
FSP:43113  mFSP:0  Y:1.50864e-06
